name,occurrence_no,diet,type,length_m,max_ma,min_ma,region,lng,lat,class,family,description,full_description
Acristavus,995739,Unknown,Unknown,Unknown,83.5,70.6,Montana,-112.329094,37.451607,Ornithischia,Hadrosauridae,"Acristavus (meaning ""non-crested grandfather"") is a genus of saurolophine dinosaur. Fossils have been found from the Campanian Two Medicine Formation in Montana and Wahweap Formation in Utah, United States.","Acristavus is a dinosaur classified under the 'Ornithischia' class and belongs to the Hadrosauridae family. It was a Unknown with a Unknown diet. The estimated maximum length was Unknown meters. Fossil records date from 83.5 to 70.6 million years ago. Fossils were discovered in the Montana region at approximately latitude 47.720959 and longitude -112.329094. Description: Acristavus (meaning ""non-crested grandfather"") is a genus of saurolophine dinosaur. Fossils have been found from the Campanian Two Medicine Formation in Montana and Wahweap Formation in Utah, United States."
Acrocanthosaurus,260040,carnivorous,large theropod,12.0,122.46,113.0,Oklahoma,-97.784447,34.18,Saurischia,Carcharodontosauridae,"Acrocanthosaurus ( AK-roh-KAN-thə-SOR-əs; lit. 'high-spined lizard') is a genus of carcharodontosaurid dinosaur that existed in what is now North America during the Aptian and early Albian stages of the Early Cretaceous, from 113 to 110 million years ago. Like most dinosaur genera, Acrocanthosaurus contains only a single species, A. atokensis.","Acrocanthosaurus is a dinosaur classified under the 'Saurischia' class and belongs to the Carcharodontosauridae family. It was a large theropod with a carnivorous diet. The estimated maximum length was 12.0 meters. Fossil records date from 122.46 to 109.0 million years ago. Fossils were discovered in the Oklahoma region at approximately latitude 34.400002 and longitude -96.099998. Description: Acrocanthosaurus ( AK-roh-KAN-thə-SOR-əs; lit. 'high-spined lizard') is a genus of carcharodontosaurid dinosaur that existed in what is now North America during the Aptian and early Albian stages of the Early Cretaceous, from 113 to 110 million years ago. Like most dinosaur genera, Acrocanthosaurus contains only a single species, A. atokensis."
Acrotholus,1135009,Unknown,Unknown,Unknown,85.8,83.5,Alberta,-111.436096,49.083698,Ornithischia,Pachycephalosauridae,"Acrotholus (Greek for ""highest dome""- akros meaning highest and tholos meaning dome) is an extinct genus of pachycephalosaur dinosaur that lived during the Santonian of the late Cretaceous, in the Milk River Formation of Canada. The type species, A. audeti, was named after Roy Audet allowing access to his ranch leading to the discovery of the species.","Acrotholus is a dinosaur classified under the 'Ornithischia' class and belongs to the Pachycephalosauridae family. It was a Unknown with a Unknown diet. The estimated maximum length was Unknown meters. Fossil records date from 85.8 to 83.5 million years ago. Fossils were discovered in the Alberta region at approximately latitude 49.083698 and longitude -111.436096. Description: Acrotholus (Greek for ""highest dome""- akros meaning highest and tholos meaning dome) is an extinct genus of pachycephalosaur dinosaur that lived during the Santonian of the late Cretaceous, in the Milk River Formation of Canada. The type species, A. audeti, was named after Roy Audet allowing access to his ranch leading to the discovery of the species."
Adamantisaurus,508559,Unknown,Unknown,Unknown,93.9,83.6,São Paulo,-51.283298,-21.5667,Saurischia,Unknown,"Adamantisaurus ( AD-ə-MAN-tiss-OR-əs) is a poorly-known genus of titanosaurian sauropod dinosaur from the Late Cretaceous Period of what is now South America. It is only known from six tail vertebrae but, as a sauropod, it can be assumed that this dinosaur was a very large animal with a long neck and tail.","Adamantisaurus is a dinosaur classified under the 'Saurischia' class. It was a Unknown with a Unknown diet. The estimated maximum length was Unknown meters. Fossil records date from 93.9 to 83.6 million years ago. Fossils were discovered in the São Paulo region at approximately latitude -21.5667 and longitude -51.283298. Description: Adamantisaurus ( AD-ə-MAN-tiss-OR-əs) is a poorly-known genus of titanosaurian sauropod dinosaur from the Late Cretaceous Period of what is now South America. It is only known from six tail vertebrae but, as a sauropod, it can be assumed that this dinosaur was a very large animal with a long neck and tail."
Adasaurus,1350013,Unknown,Unknown,Unknown,72.1,66.0,Omnogov,99.599998,43.540001,Saurischia,Dromaeosauridae,"Noasaurus (""Northwestern Argentina lizard"") is a genus of ceratosaurian theropod dinosaur from the Maastrichtian (Late Cretaceous) of Argentina. The type and only species is N. leali.","Adasaurus is a dinosaur classified under the 'Saurischia' class and belongs to the Dromaeosauridae family. It was a Unknown with a Unknown diet. The estimated maximum length was Unknown meters. Fossil records date from 72.1 to 66.0 million years ago. Fossils were discovered in the Omnogov region at approximately latitude 43.540001 and longitude 99.599998. Description: Noasaurus (""Northwestern Argentina lizard"") is a genus of ceratosaurian theropod dinosaur from the Maastrichtian (Late Cretaceous) of Argentina. The type and only species is N. leali."
Adelolophus,1264057,Unknown,Unknown,Unknown,83.5,70.6,Utah,-111.900002,37.599998,Ornithischia,Hadrosauridae,"Adelolophus (meaning ""unknown crest"") is a genus of lambeosaurine dinosaur (a crested ""duck-bill"") from Upper Cretaceous rocks in the U.S. state of Utah. The type and only known species is A. hutchisoni; the type specimen consists only of a broken maxilla.","Adelolophus is a dinosaur classified under the 'Ornithischia' class and belongs to the Hadrosauridae family. It was a Unknown with a Unknown diet. The estimated maximum length was Unknown meters. Fossil records date from 83.5 to 70.6 million years ago. Fossils were discovered in the Utah region at approximately latitude 37.599998 and longitude -111.900002. Description: Adelolophus (meaning ""unknown crest"") is a genus of lambeosaurine dinosaur (a crested ""duck-bill"") from Upper Cretaceous rocks in the U.S. state of Utah. The type and only known species is A. hutchisoni; the type specimen consists only of a broken maxilla."
Adeopapposaurus,566942,Unknown,Unknown,Unknown,201.3,174.1,San Juan,-68.5,-30.5,Saurischia,Massospondylidae,"Adeopapposaurus (meaning ""far eating lizard"", in reference to its long neck) is a genus of plateosaurian dinosaur from the Early Jurassic Cañón del Colorado Formation of San Juan, Argentina. It was similar to Massospondylus.","Adeopapposaurus is a dinosaur classified under the 'Saurischia' class and belongs to the Massospondylidae family. It was a Unknown with a Unknown diet. The estimated maximum length was Unknown meters. Fossil records date from 201.3 to 174.1 million years ago. Fossils were discovered in the San Juan region at approximately latitude -30.5 and longitude -68.5. Description: Adeopapposaurus (meaning ""far eating lizard"", in reference to its long neck) is a genus of plateosaurian dinosaur from the Early Jurassic Cañón del Colorado Formation of San Juan, Argentina. It was similar to Massospondylus."
Aegyptosaurus,260830,herbivorous,sauropod,15.0,99.6,93.5,Matruh,5.797784,28.43112,Saurischia,Unknown,"Aegyptosaurus  (meaning 'Egypt's lizard') is a genus of sauropod dinosaur that lived in what is now Africa, around 95 million years ago, during the Late Cretaceous Period (Cenomanian faunal stage).


== Discovery and naming ==
The holotype (1912VIII61) consists of three caudal vertebrae, a partial scapula, and some limb bones, all of which were discovered in the Bahariya Formation of Egypt between 1910 and c. 1913 by Ernst Stromer and Richard Markgraf and the holotype was sent to Munich, Germany in 1915 to be studied at the same time the holotype of Spinosaurus aegyptiacus was described.","Aegyptosaurus is a dinosaur classified under the 'Saurischia' class. It was a sauropod with a herbivorous diet. The estimated maximum length was 15.0 meters. Fossil records date from 105.3 to 93.5 million years ago. Fossils were discovered in the Agadez region at approximately latitude 17.708801 and longitude 5.797784. Description: Aegyptosaurus  (meaning 'Egypt's lizard') is a genus of sauropod dinosaur that lived in what is now Africa, around 95 million years ago, during the Late Cretaceous Period (Cenomanian faunal stage).


== Discovery and naming ==
The holotype (1912VIII61) consists of three caudal vertebrae, a partial scapula, and some limb bones, all of which were discovered in the Bahariya Formation of Egypt between 1910 and c. 1913 by Ernst Stromer and Richard Markgraf and the holotype was sent to Munich, Germany in 1915 to be studied at the same time the holotype of Spinosaurus aegyptiacus was described."
Aeolosaurus,343961,Unknown,Unknown,Unknown,83.6,66.0,Río Negro,-68.733299,-45.597778,Saurischia,Unknown,"Aeolosaurus (; ""Aeolus' lizard"") is a genus of titanosaurian sauropod dinosaur from the Late Cretaceous Period of what is now South America. Like most sauropods, it would have been a quadrupedal herbivore with a long neck and tail.","Aeolosaurus is a dinosaur classified under the 'Saurischia' class. It was a Unknown with a Unknown diet. The estimated maximum length was Unknown meters. Fossil records date from 70.6 to 66.0 million years ago. Fossils were discovered in the Minas Gerais region at approximately latitude -19.601944 and longitude -47.615833. Description: Aeolosaurus (; ""Aeolus' lizard"") is a genus of titanosaurian sauropod dinosaur from the Late Cretaceous Period of what is now South America. Like most sauropods, it would have been a quadrupedal herbivore with a long neck and tail."
Aerosteon,819769,Unknown,Unknown,Unknown,83.5,70.6,Mendoza,-69.330498,-37.134998,Saurischia,Megaraptoridae,"Aerosteon is a genus of megaraptoran dinosaur from the Late Cretaceous period of Argentina. Its remains were discovered in 1996 in the Anacleto Formation, which is from the late Campanian.","Aerosteon is a dinosaur classified under the 'Saurischia' class and belongs to the Megaraptoridae family. It was a Unknown with a Unknown diet. The estimated maximum length was Unknown meters. Fossil records date from 83.5 to 70.6 million years ago. Fossils were discovered in the Mendoza region at approximately latitude -37.134998 and longitude -69.330498. Description: Aerosteon is a genus of megaraptoran dinosaur from the Late Cretaceous period of Argentina. Its remains were discovered in 1996 in the Anacleto Formation, which is from the late Campanian."
Afrovenator,829028,carnivorous,large theropod,9.0,174.1,145.0,Agadez,6.53333,16.83333,Saurischia,Megalosauridae,"Afrovenator (; ""African hunter"") is a genus of megalosaurid theropod dinosaur from the Middle  or Late Jurassic Period on the Tiourarén Formation and maybe the Irhazer II Formation of the Niger Sahara region in northern Africa. Afrovenator represents the only properly identified Gondwanan megalosaur, with proposed material of the group present in the Late Jurassic on Tacuarembó Formation of Uruguay and the Tendaguru Formation of Tanzania.","Afrovenator is a dinosaur classified under the 'Saurischia' class and belongs to the Megalosauridae family. It was a large theropod with a carnivorous diet. The estimated maximum length was 9.0 meters. Fossil records date from 174.1 to 145.0 million years ago. Fossils were discovered in the Agadez region at approximately latitude 16.83333 and longitude 6.53333. Description: Afrovenator (; ""African hunter"") is a genus of megalosaurid theropod dinosaur from the Middle  or Late Jurassic Period on the Tiourarén Formation and maybe the Irhazer II Formation of the Niger Sahara region in northern Africa. Afrovenator represents the only properly identified Gondwanan megalosaur, with proposed material of the group present in the Late Jurassic on Tacuarembó Formation of Uruguay and the Tendaguru Formation of Tanzania."
Agilisaurus,402860,herbivorous,ornithopod,1.5,170.3,163.5,Sichuan,104.852501,29.411388,Ornithischia,Unknown,"Agilisaurus (; 'agile lizard') is a genus of ornithischian dinosaur from the Middle Jurassic Period of what is now eastern Asia. It was about 3.5–4 ft (1.2-1.7 m) long, 2 ft (0.6 m) in height and 40 kg in weight.","Agilisaurus is a dinosaur classified under the 'Ornithischia' class. It was a ornithopod with a herbivorous diet. The estimated maximum length was 1.5 meters. Fossil records date from 170.3 to 163.5 million years ago. Fossils were discovered in the Sichuan region at approximately latitude 29.411388 and longitude 104.852501. Description: Agilisaurus (; 'agile lizard') is a genus of ornithischian dinosaur from the Middle Jurassic Period of what is now eastern Asia. It was about 3.5–4 ft (1.2-1.7 m) long, 2 ft (0.6 m) in height and 40 kg in weight."
Agnosphitys,261810,Unknown,Unknown,Unknown,208.5,201.3,England,-2.428333,51.623055,Saurischia,Guaibasauridae,"Agnosphitys (; ""unknown begetter""; sometimes mistakenly called Agnostiphys or Agnosphytis) is a genus of dinosauriform that lived during the Late Triassic. It contains only one species, the type species A. cromhallensis.","Agnosphitys is a dinosaur classified under the 'Saurischia' class and belongs to the Guaibasauridae family. It was a Unknown with a Unknown diet. The estimated maximum length was Unknown meters. Fossil records date from 208.5 to 201.3 million years ago. Fossils were discovered in the England region at approximately latitude 51.623055 and longitude -2.428333. Description: Agnosphitys (; ""unknown begetter""; sometimes mistakenly called Agnostiphys or Agnosphytis) is a genus of dinosauriform that lived during the Late Triassic. It contains only one species, the type species A. cromhallensis."
Agujaceratops,229342,Unknown,Unknown,Unknown,83.5,70.6,Texas,-103.25,29.174419,Ornithischia,Ceratopsidae,"Agujaceratops (meaning ""horned face from Aguja"") is a genus of horned dinosaur from the Late Cretaceous (Campanian) of west Texas. It is a chasmosaurine (long-frilled) ceratopsian.","Agujaceratops is a dinosaur classified under the 'Ornithischia' class and belongs to the Ceratopsidae family. It was a Unknown with a Unknown diet. The estimated maximum length was Unknown meters. Fossil records date from 83.5 to 70.6 million years ago. Fossils were discovered in the Texas region at approximately latitude 29.174419 and longitude -103.201477. Description: Agujaceratops (meaning ""horned face from Aguja"") is a genus of horned dinosaur from the Late Cretaceous (Campanian) of west Texas. It is a chasmosaurine (long-frilled) ceratopsian."
Ahshislepelta,1206512,Unknown,Unknown,Unknown,83.5,70.6,New Mexico,-112.914497,47.676102,Ornithischia,Ankylosauridae,"Ahshislepelta (meaning ""Ah-shi-sle-pah Wash shield"") is a monospecific genus of ankylosaur dinosaur from New Mexico that lived during the Late Cretaceous (late Campanian stage, 74.5 Ma) in what is now the Hunter Wash Member of the Kirtland Formation. The type and only species, Ahshislepelta minor, is known only from an incomplete postcranial skeleton of a small subadult or adult individual.","Ahshislepelta is a dinosaur classified under the 'Ornithischia' class and belongs to the Ankylosauridae family. It was a Unknown with a Unknown diet. The estimated maximum length was Unknown meters. Fossil records date from 83.5 to 70.6 million years ago. Fossils were discovered in the New Mexico region at approximately latitude 47.676102 and longitude -112.914497. Description: Ahshislepelta (meaning ""Ah-shi-sle-pah Wash shield"") is a monospecific genus of ankylosaur dinosaur from New Mexico that lived during the Late Cretaceous (late Campanian stage, 74.5 Ma) in what is now the Hunter Wash Member of the Kirtland Formation. The type and only species, Ahshislepelta minor, is known only from an incomplete postcranial skeleton of a small subadult or adult individual."
Ajancingenia,804050,Unknown,Unknown,Unknown,83.6,72.1,Omnogov,99.599998,43.299999,Saurischia,Oviraptoridae,"Heyuannia (""from Heyuan"") is a genus of oviraptorid dinosaur that lived in Asia during the Late Cretaceous epoch, in what is now China and Mongolia. It was the first oviraptorid found in China; most others were found in neighbouring Mongolia.","Ajancingenia is a dinosaur classified under the 'Saurischia' class and belongs to the Oviraptoridae family. It was a Unknown with a Unknown diet. The estimated maximum length was Unknown meters. Fossil records date from 83.6 to 72.1 million years ago. Fossils were discovered in the Omnogov region at approximately latitude 43.299999 and longitude 99.599998. Description: Heyuannia (""from Heyuan"") is a genus of oviraptorid dinosaur that lived in Asia during the Late Cretaceous epoch, in what is now China and Mongolia. It was the first oviraptorid found in China; most others were found in neighbouring Mongolia."
Ajkaceratops,867573,Unknown,Unknown,Unknown,86.3,83.6,Veszprém,17.6,47.216702,Ornithischia,Unknown,"Ajkaceratops (pronounced ""oi-ka-sera-tops"") is a genus of ornithischian dinosaur described in 2010. It lived during the Late Cretaceous in the western Tethyan archipelago, in what is now Europe.","Ajkaceratops is a dinosaur classified under the 'Ornithischia' class. It was a Unknown with a Unknown diet. The estimated maximum length was Unknown meters. Fossil records date from 86.3 to 83.6 million years ago. Fossils were discovered in the Veszprém region at approximately latitude 47.216702 and longitude 17.6. Description: Ajkaceratops (pronounced ""oi-ka-sera-tops"") is a genus of ornithischian dinosaur described in 2010. It lived during the Late Cretaceous in the western Tethyan archipelago, in what is now Europe."
Alamosaurus,463300,herbivorous,sauropod,21.0,70.6,66.0,New Mexico,-103.203888,29.396389,Saurischia,Saltasauridae,"Alamosaurus (; meaning ""Ojo Alamo lizard"") is a genus of titanosaurian sauropod dinosaurs containing a single known species, Alamosaurus sanjuanensis, from the Maastrichtian age of the Late Cretaceous period in what is now southwestern North America. It is the only known titanosaur to have inhabited North America after the nearly 30-million year absence of sauropods from the North American fossil record and probably represents an immigrant from South America.","Alamosaurus is a dinosaur classified under the 'Saurischia' class and belongs to the Saltasauridae family. It was a sauropod with a herbivorous diet. The estimated maximum length was 21.0 meters. Fossil records date from 70.6 to 66.0 million years ago. Fossils were discovered in the New Mexico region at approximately latitude 36.343899 and longitude -108.066399. Description: Alamosaurus (; meaning ""Ojo Alamo lizard"") is a genus of titanosaurian sauropod dinosaurs containing a single known species, Alamosaurus sanjuanensis, from the Maastrichtian age of the Late Cretaceous period in what is now southwestern North America. It is the only known titanosaur to have inhabited North America after the nearly 30-million year absence of sauropods from the North American fossil record and probably represents an immigrant from South America."
Alaskacephale,521550,Unknown,Unknown,Unknown,83.5,70.6,Alaska,-151.194565,69.91745,Ornithischia,Pachycephalosauridae,"Alaskacephale is an extinct genus of pachycephalosaurid, a group of dome-headed, herbivorous ornithischian dinosaurs, that lived during the Maastrichtian stage of the Late Cretaceous period in what is now northern Alaska. The genus is one of the few known Arctic dinosaurs and was found in the Prince Creek Formation, which preserves a menagerie of fossils.","Alaskacephale is a dinosaur classified under the 'Ornithischia' class and belongs to the Pachycephalosauridae family. It was a Unknown with a Unknown diet. The estimated maximum length was Unknown meters. Fossil records date from 83.5 to 70.6 million years ago. Fossils were discovered in the Alaska region at approximately latitude 69.91745 and longitude -151.194565. Description: Alaskacephale is an extinct genus of pachycephalosaurid, a group of dome-headed, herbivorous ornithischian dinosaurs, that lived during the Maastrichtian stage of the Late Cretaceous period in what is now northern Alaska. The genus is one of the few known Arctic dinosaurs and was found in the Prince Creek Formation, which preserves a menagerie of fossils."
Albalophosaurus,343790,Unknown,Unknown,Unknown,139.8,132.9,Ishikawa,136.633331,36.166668,Ornithischia,Unknown,Albalophosaurus (meaning 'white crest lizard') is a genus of marginocephalian ornithischian dinosaur that lived in Japan during the Early Cretaceous. The type species is Albalophosaurus yamaguchiorum.,Albalophosaurus is a dinosaur classified under the 'Ornithischia' class. It was a Unknown with a Unknown diet. The estimated maximum length was Unknown meters. Fossil records date from 139.8 to 132.9 million years ago. Fossils were discovered in the Ishikawa region at approximately latitude 36.166668 and longitude 136.633331. Description: Albalophosaurus (meaning 'white crest lizard') is a genus of marginocephalian ornithischian dinosaur that lived in Japan during the Early Cretaceous. The type species is Albalophosaurus yamaguchiorum.
Albertaceratops,641349,herbivorous,ceratopsian,7.0,83.5,70.6,Alberta,-110.862686,48.945168,Ornithischia,Ceratopsidae,"Albertaceratops (meaning ""Alberta horned face"") is a genus of centrosaurine horned dinosaur from the middle Campanian-age Upper Cretaceous Oldman Formation of Alberta, Canada.


== Description ==
 

Albertaceratops is unusual in combining long brow horns with an otherwise centrosaurine skull, as centrosaurines normally possess short brow horns.","Albertaceratops is a dinosaur classified under the 'Ornithischia' class and belongs to the Ceratopsidae family. It was a ceratopsian with a herbivorous diet. The estimated maximum length was 7.0 meters. Fossil records date from 83.5 to 70.6 million years ago. Fossils were discovered in the Alberta region at approximately latitude 49.120899 and longitude -110.862686. Description: Albertaceratops (meaning ""Alberta horned face"") is a genus of centrosaurine horned dinosaur from the middle Campanian-age Upper Cretaceous Oldman Formation of Alberta, Canada.


== Description ==
 

Albertaceratops is unusual in combining long brow horns with an otherwise centrosaurine skull, as centrosaurines normally possess short brow horns."
